feature_to_predict;T9;T12;T15;Ne9;Ne12;Ne15;Wx9;Wx12;Wx15;maxO3y;wind;wind_North;wind_South;wind_West;rain_Dry;rain_Rainy
88;16.9;20.3;20.7;6;6;5;-2.8191;-3.4641;-3;92;0;0;0;1;0;1
66;18;21.6;23.3;8;6;5;-3;-3.5;-3.2139;88;0;0;1;0;1;0
72;18.6;21.9;23.6;4;7;6;0.866;-1.9696;-1.0261;66;0;0;0;1;1;0
81;18.8;22.5;23.9;6;3;2;0.5209;-1;-2;72;0;1;0;0;1;0
83;19;22.5;24.1;2;4;6;0;-1.0261;0.5209;81;0;1;0;0;1;0
149;19.9;26.9;29;3;4;3;1;-0.9397;-0.6428;83;0;0;0;1;1;0
153;23.8;27.7;29.4;1;1;4;0.9397;1.5;0;149;0;1;0;0;1;0
159;24;28.3;26.5;2;2;7;-0.342;1.2856;-2;153;0;1;0;0;1;0
149;23.3;27.6;28.8;4;6;3;0.866;-1.5321;-0.1736;159;0;0;0;1;1;0
160;25;29.6;31.1;0;3;5;1.5321;-0.684;2.8191;149;0;0;1;0;1;0
156;24.9;30.5;32.2;0;1;4;-0.5;-1.8794;-1.2856;160;0;0;0;1;1;0
84;20.5;26.3;27.8;1;0;2;-1.3681;-0.6946;0;156;0;1;0;0;1;0
126;25.3;29.5;31.2;1;4;4;3;3.7588;5;84;1;0;0;0;1;0
116;21.3;23.8;22.1;7;7;8;0;-2.3941;-1.3892;126;0;0;1;0;0;1
77;20;18.2;23.6;5;7;6;-3.4641;-2.5981;-3.7588;116;0;0;0;1;0;1
63;18.7;20.6;20.3;6;7;7;-5;-4.924;-5.6382;77;0;0;0;1;0;1
54;18.6;18.7;17.8;8;8;8;-4.6985;-2.5;-0.8682;63;0;0;1;0;0;1
65;19.2;23;22.7;8;7;7;-3.8302;-4.924;-5.6382;54;0;0;0;1;1;0
72;19.9;21.6;20.4;7;7;8;-3;-4.5963;-5.1962;65;0;0;0;1;0;1
60;18.7;21.4;21.7;7;7;7;-5.6382;-6.0622;-6.8937;72;0;0;0;1;0;1
70;18.4;17.1;20.5;3;6;3;-5.9088;-3.2139;-4.4995;60;0;1;0;0;0;1
77;17.1;20;20.8;4;5;4;-1.9284;-1.0261;0.5209;70;0;1;0;0;1;0
98;17.8;22.8;24.3;1;1;0;0;-1.5321;-1;77;0;0;0;1;0;1
111;20.9;25.2;26.7;1;5;2;-1.0261;-3;-2.2981;98;0;0;0;1;1;0
75;18.8;20.5;26;8;7;1;-0.866;0;0;111;0;1;0;0;1;0
116;23.5;29.8;31.7;1;3;5;1.8794;1.3681;0.6946;75;0;0;1;0;1;0
109;20.8;23.7;26.6;8;5;4;-1.0261;-1.7101;-3.2139;116;0;0;1;0;1;0
67;18.8;21.1;18.9;7;7;8;-5.3623;-5.3623;-2.5;86;0;0;0;1;0;1
76;17.8;21.3;24;7;5;5;-3.0642;-2.2981;-3.9392;67;0;0;0;1;0;1
113;20.6;24.8;27;1;1;2;1.3681;0.8682;-2.2981;76;0;0;1;0;1;0
117;21.6;26.9;28.6;6;6;4;1.5321;1.9284;1.9284;113;0;0;1;0;0;1
131;22.7;28.4;30.1;5;3;3;0.1736;-1.9696;-1.9284;117;0;0;0;1;1;0
166;19.8;27.2;30.8;4;0;1;0.6428;-0.866;0.684;131;0;0;0;1;1;0
159;25;33.5;35.5;1;1;1;1;0.6946;-1.7101;166;0;0;1;0;1;0
100;20.1;22.9;27.6;8;8;6;1.2856;-1.7321;-0.684;159;0;0;0;1;1;0
114;21;26.3;26.4;7;4;5;3.0642;2.8191;1.3681;100;1;0;0;0;1;0
112;21;24.4;26.8;1;6;3;4;4;3.7588;114;1;0;0;0;1;0
101;16.9;17.8;20.6;7;7;7;-2;-0.5209;1.8794;112;0;1;0;0;0;1
76;17.5;18.6;18.7;7;7;7;-3.4641;-4;-1.7321;101;0;0;0;1;1;0
59;16.5;20.3;20.3;5;7;6;-4.3301;-5.3623;-4.5;76;0;0;0;1;0;1
78;17.7;20.2;21.5;5;5;3;0;0.5209;0;59;0;1;0;0;0;1
76;17.3;22.7;24.6;4;5;6;-2.9544;-2.9544;-2;78;0;0;0;1;0;1
55;15.3;16.8;19.2;8;7;5;-1.8794;-1.8794;-2.3941;76;0;0;0;1;0;1
71;15.9;19.2;19.5;7;5;3;-6.1284;0;-1.3892;55;0;1;0;0;0;1
66;16.2;18.9;19.3;2;5;6;-1.3681;-0.8682;1.7101;71;0;1;0;0;0;1
59;18.3;18.3;19;7;7;7;-3.9392;-1.9284;-1.7101;66;0;1;0;0;0;1
68;16.9;20.8;22.5;6;5;7;-1.5;-3.4641;-3.0642;59;0;0;0;1;0;1
63;17.3;19.8;19.4;7;8;8;-4.5963;-6.0622;-4.3301;68;0;0;0;1;1;0
78;14.2;22.2;22;5;5;6;-0.866;-5;-5;62;0;0;0;1;1;0
74;15.8;18.7;19.1;8;7;7;-4.5963;-6.8937;-7.5175;78;0;0;0;1;0;1
71;15.2;17.9;18.6;6;5;1;-1.0419;-1.3681;-1.0419;74;0;1;0;0;0;1
69;17.1;17.7;17.5;6;7;8;-5.1962;-2.7362;-1.0419;71;0;1;0;0;0;1
71;15.4;17.7;16.6;4;5;5;-3.8302;0;1.3892;69;0;1;0;0;1;0
60;13.7;14;15.8;4;5;4;0;3.2139;0;71;0;1;0;0;0;1
42;12.7;14.3;14.9;8;7;7;-2.5;-3.2139;-2.5;60;0;1;0;0;0;1
65;14.8;16.3;15.9;7;7;7;-4.3301;-6.0622;-5.1962;42;0;0;0;1;0;1
71;15.5;18;17.4;7;7;6;-3.9392;-3.0642;0;65;0;0;0;1;1;0
96;11.3;19.4;20.2;3;3;3;-0.1736;3.7588;3.8302;71;1;0;0;0;0;1
98;15.2;19.7;20.3;2;2;2;4;5;4.3301;96;1;0;0;0;1;0
92;14.7;17.6;18.2;1;4;6;5.1962;5.1423;3.5;98;0;1;0;0;1;0
76;13.3;17.7;17.7;7;7;6;-0.9397;-0.766;-0.5;92;0;0;0;1;0;1
84;13.3;17.7;17.8;3;5;6;0;-1;-1.2856;76;0;0;1;0;1;0
77;16.2;20.8;22.1;6;5;5;-0.6946;-2;-1.3681;71;0;0;1;0;0;1
99;16.9;23;22.6;6;4;7;1.5;0.8682;0.8682;77;0;0;1;0;1;0
83;16.9;19.8;22.1;6;5;3;-4;-3.7588;-4;99;0;0;0;1;0;1
70;15.7;18.6;20.7;7;7;7;0;-1.0419;-4;83;0;0;1;0;1;0
